Cliente,Recencia,Frecuencia,Monto,Sexo,GSE,Edad
92,1,1,14.286,MAS,C3,81
93,3,3,71.028,FEM,E,86
94,3,3,65.139,MAS,ABC1,86
95,5,1,22.187,FEM,E,79
96,2,5,42.349,MAS,C3,83
97,1,2,4.937,MAS,E,84
98,2,9,278.732,FEM,C3,78
99,1,7,200.559,FEM,C3,80
100,2,5,133.133,FEM,C3,85
101,1,2,71.022,MAS,ABC1,75
102,5,2,18.744,MAS,C2,83
103,1,4,31.667,MAS,E,
104,1,12,122.85,MAS,C3,79
105,1,6,66.403,FEM,C3,77
106,7,1,4.605,MAS,C3,81
107,4,5,27.905,MAS,D,81
108,1,8,109.859,FEM,D,84
109,2,1,2.387,MAS,,83
110,1,11,595.113,FEM,D,83
111,1,4,26.588,FEM,C3,87
112,1,12,427.088,FEM,,72
113,3,1,1.205,MAS,D,82
114,1,7,167.316,FEM,ABC1,82
115,1,10,142.707,FEM,C2,82
116,3,4,66.185,MAS,,66
117,4,1,2.345,FEM,,84
118,1,2,14.347,MAS,C3,79
119,8,3,63.882,MAS,C3,82
120,1,5,148.051,FEM,C3,80
121,2,1,27.345,MAS,D,83
122,5,3,44.543,FEM,,82
123,12,1,9.686,MAS,D,78
124,1,9,121.925,MAS,,82
125,1,6,98.75,MAS,D,82
126,1,1,6.724,,,
127,1,12,1586.974,FEM,ABC1,86
128,1,1,27.978,FEM,C3,85
129,1,3,80.139,MAS,C3,84
130,1,12,378.259,MAS,ABC1,80
131,5,4,47.984,FEM,E,84
132,1,2,42.193,MAS,C3,83
133,11,1,3.303,FEM,D,87
134,1,11,286.392,FEM,ABC1,78
135,1,12,1278.603,FEM,ABC1,80
136,1,12,155.435,FEM,,88
137,4,4,18.459,FEM,C3,84
138,5,4,44.842,MAS,C3,82
139,1,9,27.055,FEM,C3,82
140,1,12,393.559,FEM,D,85
141,3,4,11.691,FEM,ABC1,73
142,5,3,49.421,FEM,E,84
143,1,11,732.27,FEM,C2,84
144,1,4,54.605,FEM,D,76
145,1,5,316.948,MAS,D,79
146,1,12,253.707,MAS,ABC1,78
147,1,11,254.456,MAS,C2,78
148,1,4,102.223,MAS,C3,81
149,9,1,29.951,FEM,C3,81
150,1,11,278.464,FEM,E,85
151,1,12,639.567,MAS,C3,83
152,11,1,15.118,MAS,D,77
153,1,1,2.336,MAS,D,81
154,12,1,17.193,MAS,ABC1,82
155,3,4,17.225,MAS,C3,80
156,11,1,2.681,MAS,C2,84
157,12,1,1.924,,E,
158,6,2,30.161,MAS,C2,75
159,5,2,17.211,MAS,E,80
160,1,5,87.974,FEM,E,86
161,7,1,15.765,FEM,,86
162,6,1,4.739,FEM,D,80
163,4,2,2.849,FEM,C3,79
164,4,4,204.341,MAS,C3,80
165,1,10,122.359,FEM,E,85
166,1,8,99.02,FEM,C3,80
167,1,9,52.264,FEM,C3,79
168,4,5,46.545,FEM,D,80
169,11,1,3.455,FEM,D,79
170,2,5,84.471,MAS,D,76
171,1,5,160.86,MAS,ABC1,76
172,1,2,26.271,FEM,E,80
173,1,12,746.023,MAS,C3,80
174,1,2,82.016,MAS,ABC1,80
175,1,6,32.733,FEM,E,80
176,3,3,11.992,FEM,D,83
177,1,4,299.216,,,
178,9,1,1.707,MAS,D,82
179,1,6,233.135,FEM,,83
180,1,12,858.79,MAS,C3,81
181,1,1,22.985,FEM,,77
182,5,1,8.551,MAS,D,79
183,1,1,170.071,MAS,C3,81
184,3,3,26.887,FEM,C3,77
185,3,4,95.661,MAS,D,80
186,1,8,84.496,MAS,D,78
187,1,11,217.304,MAS,D,77
188,1,12,945.989,MAS,D,79
189,7,1,3.429,FEM,D,79
190,2,1,5.874,MAS,C3,77
191,1,12,752.462,FEM,C2,77
192,3,3,19.418,MAS,D,81
193,2,4,29.101,FEM,E,77
194,4,3,10.194,FEM,D,83
195,1,1,60.935,MAS,C3,80
196,1,11,409.334,MAS,C3,81
197,1,10,525.976,FEM,C3,87
198,1,10,427.568,MAS,D,79
199,1,1,51.832,MAS,D,80
200,8,1,16.635,MAS,D,80
201,4,1,11.916,MAS,,81
202,2,2,78.044,MAS,C3,79
203,5,1,9.89,MAS,C3,80
204,6,2,6.235,FEM,D,84
205,1,11,171.971,FEM,C3,77
206,3,1,17.196,MAS,,79
207,1,10,173.409,FEM,C3,80
208,1,8,86.36,MAS,D,77
209,2,6,50.51,FEM,C3,82
210,2,1,4.303,FEM,C2,73
211,1,9,130.924,MAS,D,80
212,9,3,32.994,MAS,C3,72
213,1,8,333.119,FEM,D,82
214,1,7,75.05,FEM,E,77
215,1,12,328.803,FEM,C3,79
216,1,10,242.366,MAS,,96
217,2,8,68.96,MAS,,82
218,3,9,228.955,MAS,D,76
219,3,4,62.321,FEM,D,85
220,1,7,107.303,MAS,C3,81
221,3,7,189.81,FEM,C2,85
222,6,1,8.176,FEM,D,80
223,1,12,876.378,FEM,C3,86
224,1,2,51.776,FEM,C3,83
225,11,1,8.109,MAS,C3,85
226,1,8,105.885,FEM,C3,80
227,1,8,183.287,FEM,E,82
228,5,5,33.498,FEM,,84
229,1,11,454.556,MAS,C3,81
230,1,11,39.286,MAS,ABC1,85
231,2,11,422.887,FEM,D,88
232,1,8,160.734,FEM,D,72
233,8,2,8.021,MAS,D,83
234,9,2,10.596,MAS,C3,84
235,1,10,523.925,FEM,C3,69
236,2,6,47.03,MAS,C3,80
237,2,2,192.559,MAS,,69
238,2,5,30.798,FEM,C3,80
239,1,6,43.395,FEM,E,80
240,1,2,36.685,MAS,C3,75
241,1,10,517.935,MAS,ABC1,77
242,1,2,11.339,FEM,,77
243,1,4,91.36,MAS,C3,75
244,1,3,41.589,FEM,D,83
245,3,1,15.574,MAS,C3,76
246,11,1,8.645,MAS,D,79
247,2,10,148.14,MAS,C3,80
248,8,1,12.607,FEM,C3,78
249,8,2,30.515,FEM,C3,71
250,1,9,269.226,MAS,C3,78
251,1,11,320.85,FEM,ABC1,76
252,4,2,17.84,MAS,E,79
253,1,2,4.64,MAS,D,79
254,1,2,50.615,FEM,,79
255,1,12,90.87,FEM,E,79
256,7,3,46.582,FEM,D,81
257,7,1,10.609,MAS,D,77
258,1,5,57.152,FEM,D,76
259,2,4,49.66,MAS,C3,76
260,8,3,65.075,MAS,D,79
261,1,11,397.753,FEM,C3,78
262,1,4,72.964,MAS,D,76
263,1,12,410.892,FEM,C3,73
264,9,1,2.303,FEM,D,76
265,1,11,71.022,FEM,D,77
266,2,5,27.048,FEM,C3,75
267,10,1,15.455,FEM,C3,76
268,2,4,7.571,FEM,C3,75
269,1,2,25.976,MAS,C3,79
270,1,11,607.123,MAS,ABC1,78
271,1,10,91.339,MAS,D,79
272,1,10,183.075,FEM,,84
273,1,5,33.399,MAS,C3,73
274,2,10,111.029,FEM,D,83
275,1,7,192.656,FEM,C3,81
276,2,2,48.716,FEM,C3,77
277,1,6,245.1,MAS,C2,74
278,1,5,117.234,MAS,C2,76
279,2,6,114.734,FEM,E,83
280,1,1,15.894,MAS,C3,75
281,1,12,628.076,MAS,,75
282,1,5,130.627,FEM,,81
283,2,7,120.424,MAS,ABC1,77
284,1,12,792.591,MAS,ABC1,72
285,1,1,5.059,MAS,C3,78
286,2,7,143.076,MAS,ABC1,80
287,1,11,308.461,FEM,C3,77
288,1,12,439.813,MAS,C3,76
289,1,6,65.014,MAS,E,78
290,1,11,262.434,FEM,ABC1,80
291,1,12,498.736,MAS,C3,77
292,1,3,39.771,MAS,D,78
293,1,9,328.466,MAS,D,75
294,1,12,516.929,FEM,C3,78
295,3,2,28.711,FEM,D,81
296,5,1,12.174,FEM,C3,78
297,1,11,168.332,FEM,D,77
298,5,2,34.997,MAS,ABC1,76
299,1,7,120.876,FEM,C3,84
300,9,1,20.164,FEM,E,76
301,1,5,87.336,MAS,C3,74
302,1,4,13.826,FEM,C3,77
303,1,3,19.624,FEM,D,73
304,1,7,75.041,FEM,D,79
305,1,3,34.433,MAS,C3,76
306,12,1,3.066,FEM,ABC1,79
307,4,4,7.009,FEM,,78
308,1,11,671.651,MAS,ABC1,71
309,1,4,95.546,MAS,C3,78
310,3,3,64.565,FEM,E,80
311,1,8,122.439,MAS,C3,77
312,3,2,33.758,FEM,C3,78
313,7,1,1.832,FEM,E,85
314,12,1,1.244,MAS,C3,76
315,4,2,46.799,MAS,D,75
316,2,2,6.397,MAS,C3,72
317,5,3,31.951,FEM,D,80
318,1,10,120.303,MAS,D,78
319,2,6,94.686,FEM,D,79
320,1,2,27.181,MAS,C3,76
321,1,5,45.807,MAS,C3,76
322,1,8,111.643,FEM,E,80
323,1,6,89.684,MAS,C3,75
324,4,5,53.461,FEM,D,76
325,1,4,45.553,FEM,C3,78
326,4,4,33.144,FEM,ABC1,86
327,5,7,378.956,MAS,C3,72
328,1,3,53.798,MAS,C2,76
329,2,2,18.287,FEM,,79
330,12,1,19.635,MAS,C3,74
331,11,2,25.832,FEM,D,78
332,1,6,41.572,MAS,C3,76
333,2,10,272.657,MAS,C3,76
334,10,1,2.655,FEM,ABC1,81
335,9,2,22.766,MAS,C3,75
336,12,1,2.496,FEM,D,79
337,7,2,19.345,MAS,C3,73
338,1,12,849.536,MAS,E,76
339,1,5,59.91,FEM,C3,77
340,1,9,158.225,FEM,D,77
341,4,5,41.736,MAS,ABC1,77
342,1,10,274.04,FEM,C3,78
343,1,3,39.8,FEM,E,75
344,1,9,157.377,MAS,ABC1,75
345,3,4,55.986,MAS,E,76
346,3,7,194.461,MAS,C3,79
347,3,5,82.512,MAS,C2,71
348,8,1,14.162,MAS,C3,77
349,5,3,49.475,FEM,C3,79
350,1,11,251.255,FEM,C3,75
351,12,1,16.798,MAS,D,73
352,1,12,2957.335,MAS,ABC1,78
353,1,8,277.1,FEM,C3,78
354,6,1,9.992,MAS,C2,78
355,1,2,102.418,MAS,C3,80
356,6,3,26.299,MAS,E,78
357,1,3,27.23,MAS,ABC1,79
358,1,8,183.876,MAS,C3,79
359,3,5,47.334,MAS,D,81
360,1,9,154.977,MAS,C3,78
361,1,10,303.749,MAS,C3,77
362,1,4,52.832,MAS,D,78
363,5,1,3.605,FEM,E,78
364,1,10,869.568,MAS,D,80
365,4,5,93.494,FEM,D,75
366,3,4,130.674,MAS,ABC1,79
367,2,7,51.592,FEM,C3,76
368,1,11,237.931,MAS,D,77
369,1,3,18.076,MAS,C3,74
370,3,1,5.017,FEM,C3,77
371,6,2,47.244,MAS,C3,79
372,1,3,83.645,MAS,ABC1,75
373,1,1,2.889,MAS,D,75
374,7,1,31.168,FEM,D,71
375,1,4,25.174,FEM,C3,80
376,1,4,79.479,FEM,ABC1,76
377,3,3,48.166,FEM,E,84
378,1,2,4.092,FEM,C3,80
379,5,3,39.241,FEM,D,79
380,1,12,1335.633,MAS,C3,77
381,5,3,31.454,MAS,D,76
382,1,2,14.544,MAS,E,77
383,4,2,9.487,MAS,D,74
384,1,4,29.992,FEM,E,76
385,1,12,572.455,MAS,C3,76
386,6,1,10.492,MAS,D,72
387,1,5,190.908,MAS,C3,75
388,1,3,67.912,MAS,D,78
389,4,3,60.856,MAS,C3,72
390,4,2,2.247,MAS,D,75
391,8,1,0.555,FEM,C3,73
392,1,9,256.649,FEM,C3,77
393,1,8,164.598,FEM,C3,74
394,1,7,90.249,FEM,C3,78
395,4,2,19.061,MAS,E,76
396,1,12,288.192,MAS,D,74
397,1,11,609.183,FEM,D,73
398,8,2,26.927,FEM,C3,83
399,7,1,36.54,MAS,ABC1,79
400,3,1,3.008,MAS,D,73
401,1,6,174.878,FEM,C3,76
402,2,4,44.332,MAS,C3,74
403,1,4,11.641,FEM,D,79
404,10,1,12.846,FEM,C3,78
405,12,1,3.286,MAS,C3,77
406,1,1,1.606,MAS,C3,74
407,1,10,114.974,MAS,D,77
408,1,12,630.433,MAS,C2,75
409,1,4,81.671,MAS,D,77
410,4,2,18.678,MAS,C3,77
411,6,3,18.689,MAS,C3,73
412,1,8,143.574,FEM,D,77
413,1,11,303.442,FEM,ABC1,78
414,12,1,1.563,FEM,D,78
415,1,5,94.021,MAS,C2,72
416,1,9,138.139,FEM,C3,78
417,1,5,109.367,FEM,C3,78
418,1,12,708.828,FEM,C3,79
419,2,2,6.845,FEM,C3,78
420,6,4,50.847,FEM,C3,78
421,2,3,19.187,MAS,E,73
422,2,10,1395.576,FEM,ABC1,71
423,1,10,345.823,FEM,D,77
424,10,1,39.206,MAS,ABC1,70
425,1,3,15.636,MAS,D,75
426,2,5,26.517,FEM,E,74
427,5,3,47.235,FEM,E,77
428,1,9,239.994,FEM,C3,74
429,2,1,7.555,FEM,D,75
430,1,8,345.205,MAS,C2,71
431,1,6,50.082,FEM,C3,77
432,1,10,302.398,FEM,D,78
433,11,1,4.992,FEM,D,81
434,1,7,76.106,FEM,C3,75
435,1,4,12.818,FEM,C3,75
436,2,6,22.113,MAS,E,74
437,1,9,219.688,MAS,D,74
438,1,12,1102.715,MAS,ABC1,73
439,1,12,735.864,FEM,C3,75
440,1,8,185.282,FEM,ABC1,76
441,2,1,2.485,MAS,D,73
442,1,7,175.752,MAS,C2,72
443,1,6,137.533,FEM,E,77
444,1,12,301.876,MAS,C3,75
445,2,1,14.029,FEM,C3,78
446,1,9,297.732,MAS,D,76
447,1,10,281.782,FEM,C3,73
448,1,3,28.715,FEM,E,78
449,1,1,5.109,MAS,D,74
450,4,3,26.849,FEM,D,75
451,1,11,248.07,FEM,C2,80
452,1,8,212.61,MAS,C3,75
453,1,11,91.882,MAS,C3,77
454,1,1,17.517,MAS,E,76
455,1,9,136.13,FEM,ABC1,77
456,4,4,89.845,FEM,,78
457,2,6,56.944,FEM,ABC1,76
458,1,5,106.138,FEM,E,78
459,4,5,99.914,MAS,ABC1,69
460,1,12,212.045,MAS,C2,75
461,1,3,51.318,MAS,C3,76
462,2,9,118.143,MAS,D,74
463,3,5,44.164,FEM,C2,70
464,1,12,404.383,FEM,ABC1,72
465,1,7,100.627,FEM,D,78
466,3,1,2.635,FEM,D,78
467,1,11,94.849,MAS,D,74
468,1,11,95.182,FEM,C3,73
469,6,2,24.056,FEM,,75
470,1,11,327.79,MAS,ABC1,74
471,2,9,228.629,MAS,D,72
472,1,9,145.897,MAS,C3,70
473,1,4,84.821,MAS,C3,73
474,1,4,40.082,FEM,ABC1,74
475,1,12,272.079,MAS,D,73
476,2,7,42.911,FEM,C3,70
477,1,9,118.508,MAS,E,70
478,9,1,7.092,MAS,ABC1,74
479,1,2,27.788,MAS,C3,74
480,4,2,21.067,MAS,C3,65
481,1,9,262.426,FEM,C3,78
482,1,10,156.43,MAS,ABC1,75
483,1,7,112.255,FEM,E,74
484,1,9,137.074,MAS,C3,73
485,4,2,15.269,FEM,C3,75
486,1,10,127.232,MAS,C3,76
487,1,10,111.105,FEM,C3,71
488,7,1,17.525,FEM,D,70
489,1,8,429.913,FEM,ABC1,72
490,9,1,2.815,FEM,D,83
491,2,1,8.395,MAS,C3,75
492,1,4,104.142,FEM,C3,78
493,1,11,519.463,FEM,C3,77
494,1,11,311.461,MAS,C3,72
495,1,8,433.108,FEM,C3,67
496,9,2,9.366,MAS,C3,72
497,2,4,70.172,FEM,C3,78
498,1,10,72.624,MAS,E,75
499,4,1,2.933,FEM,C3,75
500,1,3,111.168,FEM,ABC1,71
501,1,8,117.687,MAS,D,76
502,9,2,27.465,FEM,ABC1,93
503,1,7,115.098,FEM,ABC1,76
504,6,3,12.586,MAS,C2,75
505,2,6,222.593,FEM,C2,74
506,7,3,46.37,MAS,C3,75
507,1,12,789.559,MAS,ABC1,78
508,1,2,14.355,MAS,C3,76
509,1,7,151.896,FEM,,
510,1,7,127.048,FEM,E,78
511,1,8,140.039,FEM,ABC1,78
512,1,12,124.923,MAS,D,74
513,1,10,63.345,MAS,C3,79
514,1,8,197.747,FEM,C3,78
515,1,3,25.235,MAS,ABC1,73
516,1,6,12.807,MAS,D,77
517,1,10,98.455,FEM,C3,76
518,1,5,88.495,MAS,C3,78
519,1,4,19.596,FEM,E,72
520,7,1,17.185,FEM,C3,80
521,1,12,1062.312,FEM,E,72
522,1,2,21.935,MAS,C3,73
523,1,9,97.061,MAS,D,71
524,1,6,267.913,FEM,C3,74
525,2,4,121.513,FEM,C3,75
526,11,1,9.445,FEM,D,72
527,7,1,5.979,MAS,D,76
528,9,3,126.899,FEM,E,73
529,4,5,23.588,FEM,E,74
530,2,5,23.533,FEM,C3,75
531,1,12,161.422,MAS,D,73
532,1,8,146.331,MAS,D,73
533,9,2,7.25,FEM,D,78
534,2,7,31.065,FEM,C3,76
535,2,5,62.394,FEM,D,73
536,1,6,201.69,MAS,D,76
537,4,4,10.636,MAS,C3,70
538,1,12,190.463,MAS,ABC1,68
539,3,3,44.524,MAS,C2,71
540,2,7,92.618,FEM,E,76
541,1,7,37.35,MAS,C2,73
542,5,1,39.271,FEM,D,74
543,1,12,1829.503,FEM,C3,71
544,1,12,231.282,MAS,E,73
545,2,6,124.15,FEM,ABC1,73
546,1,11,627.616,FEM,C3,72
547,1,11,1293.547,MAS,ABC1,74
548,1,5,108.758,MAS,D,73
549,1,4,36.267,FEM,,80
550,1,4,55.415,MAS,C3,76
551,1,9,266.728,FEM,D,75
552,1,4,49.254,FEM,C3,77
553,5,4,55.232,FEM,C3,76
554,2,2,17.295,MAS,C3,73
555,2,2,53.399,MAS,C3,76
556,1,10,255.101,FEM,E,75
557,2,4,28.782,MAS,C2,74
558,4,1,6.874,MAS,D,72
559,8,3,60.045,MAS,C3,72
560,1,7,101.749,FEM,C3,76
561,1,5,60.878,MAS,C3,73
562,3,1,35.895,,C3,
563,1,11,378.815,MAS,E,73
564,1,10,784.115,FEM,ABC1,76
565,2,3,15.753,FEM,C3,75
566,1,5,11.65,FEM,C3,73
567,1,1,15.109,MAS,ABC1,72
568,6,1,7.109,MAS,ABC1,73
569,1,3,8.862,MAS,C2,75
570,2,2,8.686,MAS,ABC1,72
571,1,12,546.034,MAS,ABC1,75
572,1,4,22.266,MAS,ABC1,71
573,1,9,1116.276,FEM,C3,75
574,2,8,179.56,FEM,C3,66
575,1,2,5.452,MAS,D,76
576,1,12,326.996,MAS,C3,73
577,5,1,5.613,MAS,D,70
578,1,8,180.667,FEM,C3,75
579,1,5,90.867,FEM,,85
580,8,3,47.928,MAS,ABC1,72
581,12,1,28.298,MAS,D,71
582,1,8,113.491,MAS,ABC1,73
583,1,6,88.395,FEM,C3,77
584,1,8,719.487,MAS,ABC1,70
585,4,1,10.618,MAS,E,73
586,1,8,163.828,MAS,ABC1,69
587,1,7,159.941,FEM,C3,72
588,2,5,231.234,MAS,D,73
589,1,2,33.697,FEM,C3,77
590,1,11,374.618,FEM,C2,74
591,3,7,158.061,FEM,E,76
592,1,5,80.468,MAS,E,72
593,2,8,315.5,MAS,C3,73
594,1,12,864.496,MAS,C3,70
595,1,5,121.879,MAS,D,72
596,1,11,296.925,MAS,D,77
597,2,10,209.508,FEM,C3,74
598,1,5,104.847,MAS,C3,73
599,1,7,110.578,FEM,D,80
600,1,3,16.75,FEM,D,72
601,5,3,32.016,MAS,C3,78
602,3,2,26.998,MAS,D,76
603,1,11,186.614,MAS,E,74
604,1,12,640.645,MAS,C3,71
605,2,1,19.661,MAS,C2,75
606,2,10,395.406,MAS,C3,70
607,1,1,4.185,FEM,,73
608,5,4,133.996,FEM,ABC1,72
609,1,10,109.323,FEM,D,74
610,1,12,343.913,FEM,C2,79
611,2,6,108.687,FEM,,77
612,2,5,35.834,MAS,E,71
613,1,12,315.937,MAS,C3,71
614,3,5,85.83,FEM,C3,75
615,1,2,27.294,MAS,D,75
616,1,6,177.739,FEM,D,74
617,1,11,296.323,FEM,C3,82
618,1,8,232.105,FEM,C3,76
619,1,7,163.048,FEM,E,72
620,1,11,291.288,FEM,C3,73
621,4,2,21.402,,ABC1,
622,1,11,236.276,FEM,C3,72
623,1,7,288.399,FEM,C2,74
624,1,10,162.864,FEM,C3,75
625,1,6,46.969,FEM,C3,73
626,1,6,33.613,MAS,D,77
627,1,7,63.435,FEM,C3,74
628,1,5,185.968,MAS,C3,80
629,1,6,80.297,MAS,ABC1,77
630,4,5,25.571,MAS,ABC1,72
631,2,7,146.011,FEM,ABC1,75
632,1,4,73.286,MAS,D,75
633,1,12,121.029,MAS,D,75
634,1,1,1.084,FEM,E,74
635,1,9,522.556,FEM,E,75
636,10,1,8.387,FEM,ABC1,71
637,1,7,169.792,FEM,D,72
638,1,12,144.426,FEM,D,73
639,1,10,112.513,MAS,D,77
640,2,3,24.971,MAS,C3,74
641,12,1,14.059,MAS,C3,73
642,1,4,16.546,MAS,C3,75
643,2,5,287.507,FEM,ABC1,76
644,1,9,84.918,FEM,C3,76
645,1,12,631.243,MAS,C3,69
646,1,12,465.534,MAS,C3,75
647,1,12,367.63,MAS,ABC1,72
648,1,12,407.064,FEM,C3,70
649,3,3,38.507,MAS,C3,72
650,3,1,14.992,MAS,ABC1,62
651,1,11,198.321,MAS,C2,70
652,4,3,28.933,FEM,D,68
653,1,3,23.278,MAS,C3,74
654,1,7,162.195,FEM,D,79
655,1,3,44.313,FEM,E,75
656,1,4,65.35,FEM,C3,76
657,5,3,56.429,FEM,C3,69
658,1,9,227.078,MAS,ABC1,70
659,1,12,1269.554,MAS,,71
660,11,2,17.708,MAS,C3,64
661,1,9,27.588,MAS,C2,72
662,1,6,114.531,MAS,C3,71
663,2,5,38.587,FEM,D,78
664,1,1,10.319,FEM,C3,73
665,2,9,869.993,FEM,C2,70
666,1,9,128.144,FEM,ABC1,71
667,1,11,298.234,MAS,C2,71
668,8,1,2.765,FEM,E,85
669,3,9,61.524,MAS,D,75
670,2,10,264.247,MAS,C3,73
671,1,6,65.15,FEM,D,73
672,3,4,43.86,FEM,C3,73
673,1,5,65.915,FEM,C3,76
674,1,12,1998.687,FEM,E,78
675,1,11,480.476,MAS,ABC1,71
676,7,1,9.943,MAS,D,75
677,1,7,73.378,MAS,C3,71
678,1,8,186.827,MAS,C3,68
679,12,1,16.353,MAS,ABC1,72
680,1,7,126.904,FEM,C3,71
681,1,10,231.036,MAS,C3,73
682,4,3,15.408,MAS,C2,75
683,1,4,103.871,FEM,,72
684,4,4,39.908,MAS,ABC1,65
685,2,1,1.946,MAS,C3,73
686,2,4,53.989,FEM,C2,72
687,1,9,629.48,MAS,ABC1,70
688,1,4,36.872,MAS,E,70
689,3,1,7.555,FEM,D,75
690,2,2,16.893,FEM,E,77
691,1,3,63.371,MAS,ABC1,68
692,6,2,43.534,FEM,,74
693,1,10,110.403,MAS,D,72
694,3,6,70.301,FEM,C3,73
695,1,6,112.841,FEM,C3,71
696,1,5,91.033,MAS,D,73
697,1,9,305.718,MAS,D,69
698,1,11,239.035,MAS,C3,70
699,1,11,216.187,FEM,E,79
700,1,2,19.245,MAS,C3,71
701,1,9,116.213,MAS,C3,74
702,1,9,120.061,FEM,D,78
703,2,8,225.694,MAS,ABC1,68
704,1,11,379.359,FEM,C3,73
705,4,1,1.711,MAS,E,71
706,1,1,10.834,MAS,C3,74
707,4,5,107.482,MAS,C2,69
708,1,4,14.775,FEM,E,68
709,2,11,239.445,FEM,C3,72
710,2,2,32.856,FEM,C3,67
711,3,3,94.484,MAS,ABC1,71
712,1,7,548.605,FEM,C2,76
713,1,7,96.345,MAS,E,69
714,2,5,1063.682,MAS,ABC1,73
715,1,8,436.349,MAS,C3,72
716,1,11,299.194,FEM,C3,70
717,6,2,5.874,MAS,D,73
718,3,7,136.154,FEM,E,70
719,7,3,32.093,MAS,C3,71
720,1,7,178.494,FEM,ABC1,66
721,1,5,65.338,FEM,,71
722,1,12,1488.603,FEM,C2,71
723,2,1,0.794,MAS,D,76
724,2,4,26.353,FEM,C3,74
725,1,7,156.459,MAS,C3,71
726,4,5,139.693,FEM,D,76
727,1,11,217.216,FEM,E,79
728,2,2,27.471,MAS,C3,63
729,1,8,215.369,FEM,C3,76
730,1,3,46.191,FEM,E,77
731,3,6,53.539,MAS,C3,69
732,1,9,166.861,FEM,C3,68
733,1,11,1153.205,FEM,C2,66
734,1,8,138.003,FEM,ABC1,76
735,1,3,49.781,MAS,C3,73
736,1,6,62.497,MAS,D,71
737,2,1,2.319,MAS,D,75
738,2,4,59.704,,C3,
739,1,12,1422.141,MAS,C2,69
740,2,6,135.736,FEM,D,73
741,1,3,60.86,MAS,D,73
742,1,5,109.45,MAS,C3,68
